dataset,unit_id,model,prior_quality,equipment_type,is_run_to_failure,n_valid,rmse,mae,nasa_score,mean_bias,detection_lead_time,false_alarm_rate,detection_success
femto,femto_Bearing1_1,threshold_alarm,approximate_oem,ball_bearing,True,2803,,,,,,0.0,False
femto,femto_Bearing1_1,static_curve,approximate_oem,ball_bearing,True,2803,1614.251700505493,1398.1083333333333,2674986483.6020513,1398.1083333333333,48.0,0.0,True
femto,femto_Bearing1_1,rolling_refit,approximate_oem,ball_bearing,True,2803,1614.251700505493,1398.1083333333333,2674986483.6020513,1398.1083333333333,48.0,0.0,True
femto,femto_Bearing1_1,pid_adaptive,approximate_oem,ball_bearing,True,2803,1613.1002074641822,1397.111111111111,2672986483.6020513,1397.111111111111,48.0,0.0,True
femto,femto_Bearing1_1,pid_regime,approximate_oem,ball_bearing,True,2803,1611.3729679022038,1395.6152777777777,2669986483.6020513,1395.6152777777777,48.0,0.0,True
femto,femto_Bearing1_2,threshold_alarm,approximate_oem,ball_bearing,True,871,,,,,,0.0,False
femto,femto_Bearing1_2,static_curve,approximate_oem,ball_bearing,True,871,501.90941313069385,434.79166666666663,742986483.6020519,434.79166666666663,48.0,0.0,True
femto,femto_Bearing1_2,rolling_refit,approximate_oem,ball_bearing,True,871,501.90941313069385,434.79166666666663,742986483.6020519,434.79166666666663,48.0,0.0,True
femto,femto_Bearing1_2,pid_adaptive,approximate_oem,ball_bearing,True,871,500.7579200479417,433.7944444444444,740986483.6020519,433.7944444444444,48.0,0.0,True
femto,femto_Bearing1_2,pid_regime,approximate_oem,ball_bearing,True,871,499.0306804234165,432.2986111111111,737986483.6020519,432.2986111111111,48.0,0.0,True
femto,femto_Bearing2_1,threshold_alarm,approximate_oem,ball_bearing,True,911,,,,,,0.0,False
femto,femto_Bearing2_1,static_curve,approximate_oem,ball_bearing,True,911,524.9392747434791,454.73611111111114,782986483.6020519,454.73611111111114,48.0,0.0,True
femto,femto_Bearing2_1,rolling_refit,approximate_oem,ball_bearing,True,911,524.9392747434791,454.73611111111114,782986483.6020519,454.73611111111114,48.0,0.0,True
femto,femto_Bearing2_1,pid_adaptive,approximate_oem,ball_bearing,True,911,523.7877816646676,453.73888888888894,780986483.6020519,453.73888888888894,48.0,0.0,True
femto,femto_Bearing2_1,pid_regime,approximate_oem,ball_bearing,True,911,522.0605420461034,452.2430555555556,777986483.6020519,452.2430555555556,48.0,0.0,True
femto,femto_Bearing2_2,threshold_alarm,approximate_oem,ball_bearing,True,797,,,,,,0.0,False
femto,femto_Bearing2_2,static_curve,approximate_oem,ball_bearing,True,797,459.30416891569064,397.89444444444445,668986483.6020519,397.89444444444445,48.0,0.0,True
femto,femto_Bearing2_2,rolling_refit,approximate_oem,ball_bearing,True,797,459.30416891569064,397.89444444444445,668986483.6020519,397.89444444444445,48.0,0.0,True
femto,femto_Bearing2_2,pid_adaptive,approximate_oem,ball_bearing,True,797,458.15267582402254,396.8972222222222,666986483.6020519,396.8972222222222,48.0,0.0,True
femto,femto_Bearing2_2,pid_regime,approximate_oem,ball_bearing,True,797,456.4254361860021,395.4013888888889,663986483.6020519,395.4013888888889,48.0,0.0,True
femto,femto_Bearing1_3,threshold_alarm,approximate_oem,ball_bearing,False,1802,,,,,,,
femto,femto_Bearing1_3,static_curve,approximate_oem,ball_bearing,False,1802,,,,,,,
femto,femto_Bearing1_3,rolling_refit,approximate_oem,ball_bearing,False,1802,,,,,,,
